term,normalized_text,categories,success_count,failure_count,total_count,avg_confidence,translation_de,translation_fr,translation_es,translation_it,sources,file_count,notes,verified
lateral views,Views lateral,ExaminationName,0,75,75,0.93,Lateralansicht,,,,,66,"Failed: 75/75; Files: 66; VERIFIED: Failed 75 times, confidence: 0.93",TRUE
woman,Woman,Gender,0,62,62,1,Frau,,,,umls,62,"Failed: 62/62; Sources: umls; Files: 62; VERIFIED: Failed 62 times, confidence: 1.0",TRUE
cardiomegaly,Cardiomegaly,SymptomOrSign,62,0,62,0.918,Kardiomegalie,,,,umls,53,Success: 62/62; Sources: umls; Files: 53,FALSE
effusion,effusion,"Diagnosis, SymptomOrSign",0,59,59,0.95,Erguss,,,,umls,49,"Failed: 59/59; Sources: umls; Files: 49; VERIFIED: Failed 59 times, confidence: 0.95",TRUE
pleural effusions,Pleural effusion (disorder),"Diagnosis, SymptomOrSign",59,0,59,0.909,Pleuraerguss,,,,umls,41,Success: 59/59; Sources: umls; Files: 41,FALSE
Chest radiographs,Plain chest X-ray,ExaminationName,59,0,59,0.97,Röntgenaufnahme der Brust,,,,umls,55,Success: 59/59; Sources: umls; Files: 55,FALSE
radiograph,Diagnostic radiologic examination,ExaminationName,0,58,58,0.97,Röntgenaufnahme,,,,umls,55,"Failed: 58/58; Sources: umls; Files: 55; VERIFIED: Failed 55 times, confidence: 0.97",TRUE
LAT,"ORC3 protein, human",ExaminationName,0,58,58,0.95,lateral,,,,,55,"Failed: 58/58; Files: 55; VERIFIED: Failed 58 times, confidence: 0.95",TRUE
mediastinal,Mediastinum,"BodyStructure, SymptomOrSign",0,57,57,0.94,mediastinal,,,,umls,56,"Failed: 57/57; Sources: umls; Files: 56; VERIFIED: Failed 41 times, confidence: 0.94",TRUE
opacities,Abnormally opaque structure (morphologic abnormality),SymptomOrSign,0,54,54,0.995,Opazitäten,,,,umls,41,"Failed: 54/54; Sources: umls; Files: 41; VERIFIED: Failed 54 times, confidence: 0.99",TRUE
cardiac,Heart,"BodyStructure, SymptomOrSign",0,49,49,0.98,Kardial,,,,umls,49,"Failed: 49/49; Sources: umls; Files: 49; VERIFIED: Failed 41 times, confidence: 0.98",TRUE
lateral,Lateral,ExaminationName,0,48,48,0.945,Lateral,,,,umls,48,"Failed: 48/48; Sources: umls; Files: 48; VERIFIED: Failed 48 times, confidence: 0.94",TRUE
F,Woman,Gender,0,48,48,0.971,Frau,,,,umls,46,"Failed: 48/48; Sources: umls; Files: 46; VERIFIED: Failed 46 times, confidence: 0.97",TRUE
stomach,Stomach,BodyStructure,0,46,46,0.99,Magen,,,,,40,"Failed: 46/46; Files: 40; VERIFIED: Failed 46 times, confidence: 0.99",TRUE
M,Male population group,Gender,0,45,45,1,Mann,,,,umls,44,"Failed: 45/45; Sources: umls; Files: 44; VERIFIED: Failed 45 times, confidence: 1.0",TRUE
Chest pain,Chest Pain,SymptomOrSign,43,0,43,1,Thoraxschmerzen,,,,umls,41,Success: 43/43; Sources: umls; Files: 41,FALSE
Frontal,Coronal (qualifier value),ExaminationName,0,39,39,0.972,Frontal,,,,umls,38,"Failed: 39/39; Sources: umls; Files: 38; VERIFIED: Failed 35 times, confidence: 0.97",TRUE
lung base,Basal segment of lung,BodyStructure,0,36,36,0.975,Lungenbasis,,,,umls,30,"Failed: 36/36; Sources: umls; Files: 30; VERIFIED: Failed 36 times, confidence: 0.97",TRUE
infection,Infection,"Diagnosis, SymptomOrSign",0,35,35,0.975,Infektion,,,,,26,"Failed: 35/35; Files: 26; VERIFIED: Failed 32 times, confidence: 0.97",TRUE
CT,X-Ray Computed Tomography,"ExaminationName, TreatmentName",0,33,33,0.982,CT,,,,umls,21,"Failed: 33/33; Sources: umls; Files: 21; VERIFIED: Failed 33 times, confidence: 0.98",TRUE
Aspiration,Endotracheal aspiration,"Diagnosis, SymptomOrSign",3,29,32,0.913,Aspiration,,,,umls,22,"Success: 3/32; Failed: 29/32; Sources: umls; Files: 22; VERIFIED: Failed 28 times, confidence: 0.91",TRUE
lungs,Lung,BodyStructure,0,31,31,0.96,Lungen,,,,umls,31,"Failed: 31/31; Sources: umls; Files: 31; VERIFIED: Failed 27 times, confidence: 0.96",TRUE
base,Anatomical base,BodyStructure,0,31,31,0.951,Basis,,,,,27,"Failed: 31/31; Files: 27; VERIFIED: Failed 31 times, confidence: 0.95",TRUE
pleural,Pleura,BodyStructure,0,30,30,0.994,Pleural,,,,umls,29,"Failed: 30/30; Sources: umls; Files: 29; VERIFIED: Failed 30 times, confidence: 0.99",TRUE
Heart,HEART PROBLEM,"BodyStructure, SymptomOrSign",0,30,30,0.962,Herz,,,,umls,30,"Failed: 30/30; Sources: umls; Files: 30; VERIFIED: Failed 20 times, confidence: 0.95",TRUE
carina,Structure of carina,BodyStructure,0,29,29,0.982,Carina,,,,umls,25,"Failed: 29/29; Sources: umls; Files: 25; VERIFIED: Failed 29 times, confidence: 0.98",TRUE
fever,Fever,SymptomOrSign,28,0,28,0.989,Fieber,,,,umls,28,Success: 28/28; Sources: umls; Files: 28,FALSE
edema,Edema,"ExaminationName, SymptomOrSign",0,28,28,0.96,Ödem,,,,umls,24,"Failed: 28/28; Sources: umls; Files: 24; VERIFIED: Failed 28 times, confidence: 0.96",TRUE
nasogastric tube,Nasogastric tube procedures,TreatmentName,0,27,27,0.98,Nasensonde,,,,,24,"Failed: 27/27; Files: 24; VERIFIED: Failed 23 times, confidence: 0.98",TRUE
Lung volumes,Lung Volumes,ExaminationName,0,27,27,0.89,Lungenvolumen,,,,umls,25,"Failed: 27/27; Sources: umls; Files: 25; VERIFIED: Failed 18 times, confidence: 0.89",TRUE
Endotracheal tube,Endotracheal tube,TreatmentName,25,0,25,0.933,Endotrachealtubus,,,,umls,22,Success: 25/25; Sources: umls; Files: 22,FALSE
CHF,Congestive heart failure,Diagnosis,25,0,25,0.979,Angeborenes Herzversagen,,,,umls,21,Success: 25/25; Sources: umls; Files: 21,FALSE
"pleural
 effusion",Pleural effusion (disorder),"Diagnosis, SymptomOrSign",24,0,24,0.964,Pleuraerguss,,,,umls,23,Success: 24/24; Sources: umls; Files: 23,FALSE
clear,Clear,SymptomOrSign,0,24,24,1,Klar,,,,umls,24,"Failed: 24/24; Sources: umls; Files: 24; VERIFIED: Failed 24 times, confidence: 1.0",TRUE
pna,Pneumonia,Diagnosis,24,0,24,0.993,Pneumonie,,,,umls,17,Success: 24/24; Sources: umls; Files: 17,FALSE
Heart size,heart size,SymptomOrSign,0,24,24,0.93,Herzgrösse,,,,,23,"Failed: 24/24; Files: 23; VERIFIED: Failed 18 times, confidence: 0.93",TRUE
exam,Medical Examination,ExaminationName,23,0,23,0.872,Medizinisches Assessment,,,,umls,23,Success: 23/23; Sources: umls; Files: 23,FALSE
shortness of breath,Dyspnea,SymptomOrSign,23,0,23,0.998,Dyspnoe,,,,umls,23,Success: 23/23; Sources: umls; Files: 23,FALSE
female,Woman,Gender,0,23,23,1,weiblich,,,,umls,23,"Failed: 23/23; Sources: umls; Files: 23; VERIFIED: Failed 23 times, confidence: 1.0",TRUE
hemidiaphragm,Structure of hemidiaphragm,BodyStructure,0,23,23,0.96,Hemidiaphragma,,,,umls,22,"Failed: 23/23; Sources: umls; Files: 22; VERIFIED: Failed 23 times, confidence: 0.96",TRUE
mediastinum,Mediastinum,"BodyStructure, SymptomOrSign",0,22,22,0.91,Mediastinum,,,,umls,22,"Failed: 22/22; Sources: umls; Files: 22; VERIFIED: Failed 22 times, confidence: 0.91",TRUE
male,Male population group,Gender,0,22,22,1,männlich,,,,umls,22,"Failed: 22/22; Sources: umls; Files: 22; VERIFIED: Failed 21 times, confidence: 1.0",TRUE
examination,Physical Examination,ExaminationName,0,22,22,0.91,Untersuchung,,,,umls,13,"Failed: 22/22; Sources: umls; Files: 13; VERIFIED: Failed 22 times, confidence: 0.91",TRUE
radiographs,Diagnostic radiologic examination,ExaminationName,0,21,21,0.94,Röntgenaufnahme,,,,umls,19,"Failed: 21/21; Sources: umls; Files: 19; VERIFIED: Failed 16 times, confidence: 0.94",TRUE
chest tube,Chest Tubes,TreatmentName,0,21,21,0.99,Thoraxdrainage,,,,umls,17,"Failed: 21/21; Sources: umls; Files: 17; VERIFIED: Failed 21 times, confidence: 0.99",TRUE
PICC,Peripherally Inserted Central Catheter Line Insertion,TreatmentName,0,21,21,0.99,PICC,,,,,13,"Failed: 21/21; Files: 13; VERIFIED: Failed 18 times, confidence: 0.99",TRUE
effusions,effusion,"Diagnosis, SymptomOrSign",0,20,20,0.961,Ergüsse,,,,umls,17,"Failed: 20/20; Sources: umls; Files: 17; VERIFIED: Failed 20 times, confidence: 0.96",TRUE
opacification,Opacification,SymptomOrSign,0,20,20,0.993,Trübung,,,,umls,15,"Failed: 20/20; Sources: umls; Files: 15; VERIFIED: Failed 18 times, confidence: 0.99",TRUE
degenerative changes,Abnormal degeneration,SymptomOrSign,0,19,19,0.967,Degenerative Veränderungen,,,,umls,19,"Failed: 19/19; Sources: umls; Files: 19; VERIFIED: Failed 16 times, confidence: 0.96",TRUE
hemithorax,Structure of half of thorax lateral to midsagittal plane,BodyStructure,0,19,19,0.973,Hemithorax,,,,umls,12,"Failed: 19/19; Sources: umls; Files: 12; VERIFIED: Failed 19 times, confidence: 0.97",TRUE
diaphragm,Respiratory Diaphragm,BodyStructure,0,19,19,0.93,Diaphragma,,,,umls,19,"Failed: 19/19; Sources: umls; Files: 19; VERIFIED: Failed 19 times, confidence: 0.93",TRUE
infiltrate,Infiltration,"ExaminationName, SymptomOrSign",0,18,18,0.96,Infiltration,,,,umls,16,"Failed: 18/18; Sources: umls; Files: 16; VERIFIED: Failed 18 times, confidence: 0.96",TRUE
thoracic spine,Thoracic spine structure,BodyStructure,0,17,17,0.99,Brustwirbelsäule,,,,umls,16,"Failed: 17/17; Sources: umls; Files: 16; VERIFIED: Failed 17 times, confidence: 0.99",TRUE
Blunting,Blunted,SymptomOrSign,0,17,17,0.99,stumpf,,,,umls,14,"Failed: 17/17; Sources: umls; Files: 14; VERIFIED: Failed 14 times, confidence: 0.99",TRUE
PICC line,Peripherally inserted central catheter (physical object),TreatmentName,0,17,17,0.984,PICC,,,,umls,17,"Failed: 17/17; Sources: umls; Files: 17; VERIFIED: Failed 17 times, confidence: 0.98",TRUE
lung bases,Basal segment of lung,BodyStructure,0,16,16,0.991,Lungenbasen,,,,umls,15,"Failed: 16/16; Sources: umls; Files: 15; VERIFIED: Failed 16 times, confidence: 0.99",TRUE
NG tube,Nasogastric tube,TreatmentName,0,16,16,0.981,Nasensonde,,,,umls,14,"Failed: 16/16; Sources: umls; Files: 14; VERIFIED: Failed 16 times, confidence: 0.98",TRUE
pulmonary vascular congestion,Pulmonary vascular congestion,SymptomOrSign,0,16,16,0.91,Lungenödem,,,,,14,"Failed: 16/16; Files: 14; VERIFIED: Failed 14 times, confidence: 0.91",TRUE
COPD,Chronic Obstructive Airway Disease,Diagnosis,15,0,15,0.999,Chronisch obstruktive Lungenerkrankung,,,,umls,13,Success: 15/15; Sources: umls; Files: 13,FALSE
hilar,Hilar,"BodyStructure, SymptomOrSign",0,15,15,0.93,hilär,,,,umls,14,"Failed: 15/15; Sources: umls; Files: 14; VERIFIED: Failed 13 times, confidence: 0.93",TRUE
Elevation,Elevation,SymptomOrSign,0,15,15,0.99,Erhöhung,,,,umls,13,"Failed: 15/15; Sources: umls; Files: 13; VERIFIED: Failed 13 times, confidence: 0.99",TRUE
"pulmonary
 edema",Pulmonary Edema,Diagnosis,15,0,15,0.915,Lungenödem,,,,umls,14,Success: 15/15; Sources: umls; Files: 14,FALSE
left lower lobe,Structure of left lower lobe of lung,BodyStructure,0,15,15,0.908,Linker Unterlappen,,,,umls,14,"Failed: 15/15; Sources: umls; Files: 14; VERIFIED: Failed 13 times, confidence: 0.89",TRUE
fracture,Fracture,"Diagnosis, SymptomOrSign",15,0,15,0.987,Fraktur,,,,umls,12,Success: 15/15; Sources: umls; Files: 12,FALSE
dyspnea,Dyspnea,SymptomOrSign,15,0,15,0.995,Dyspnoe,,,,umls,15,Success: 15/15; Sources: umls; Files: 15,FALSE
consolidations,Consolidation,SymptomOrSign,0,15,15,0.98,Konsolidierung,,,,umls,10,"Failed: 15/15; Sources: umls; Files: 10; VERIFIED: Failed 15 times, confidence: 0.98",TRUE
CABG,Coronary Artery Bypass Surgery,TreatmentName,15,0,15,0.999,Kardiale Revaskularisierung mit Bypass-Anastomose,,,,umls,11,Success: 15/15; Sources: umls; Files: 11,FALSE
PTX,Pneumothorax,Diagnosis,14,0,14,0.965,Pneumothorax,,,,umls,9,Success: 14/14; Sources: umls; Files: 9,FALSE
lower lobe,Structure of lower lobe of lung,BodyStructure,0,14,14,0.87,Unterlappen,,,,umls,14,"Failed: 14/14; Sources: umls; Files: 14; VERIFIED: Failed 13 times, confidence: 0.87",TRUE
AP,ampicillin,ExaminationName,14,0,14,0.903,Ampicillin,,,,umls,12,Success: 14/14; Sources: umls; Files: 12,FALSE
Aeration,aeration,SymptomOrSign,0,14,14,0.974,Belüftung,,,,,12,"Failed: 14/14; Files: 12; VERIFIED: Failed 12 times, confidence: 0.97",TRUE
study,diagnostic procedure,ExaminationName,0,14,14,0.88,Studie,,,,,10,"Failed: 14/14; Files: 10; VERIFIED: Failed 14 times, confidence: 0.88",TRUE
engorged,engorged,SymptomOrSign,0,13,13,1,geschwollen,,,,,13,"Failed: 13/13; Files: 13; VERIFIED: Failed 13 times, confidence: 1.0",TRUE
sob,Dyspnea,SymptomOrSign,13,0,13,0.994,Dyspnoe,,,,umls,11,Success: 13/13; Sources: umls; Files: 11,FALSE
right lower lobe,Structure of right lower lobe of lung,BodyStructure,0,13,13,0.97,Rechter Unterlappen,,,,umls,11,"Failed: 13/13; Sources: umls; Files: 11; VERIFIED: Failed 11 times, confidence: 0.97",TRUE
intubation,Intubation (procedure),TreatmentName,13,0,13,0.997,Intubation,,,,umls,13,Success: 13/13; Sources: umls; Files: 13,FALSE
chest x-ray,Plain chest X-ray,ExaminationName,12,0,12,0.989,Röntgenaufnahme der Brust,,,,umls,11,Success: 12/12; Sources: umls; Files: 11,FALSE
enlarged,Enlarged,SymptomOrSign,0,12,12,0.98,vergrössert,,,,umls,12,"Failed: 12/12; Sources: umls; Files: 12; VERIFIED: Failed 12 times, confidence: 0.98",TRUE
chest CT,Chest CT,ExaminationName,0,12,12,0.975,Röntgenaufnahme der Brust,,,,umls,11,"Failed: 12/12; Sources: umls; Files: 11; VERIFIED: Failed 11 times, confidence: 0.97",TRUE
mass,Mass of body structure,SymptomOrSign,12,0,12,0.985,Raumforderung eines Körperteils,,,,umls,8,Success: 12/12; Sources: umls; Files: 8,FALSE
internal jugular,"Jugular, Internal",BodyStructure,0,12,12,0.922,Vena jugularis interna,,,,,8,"Failed: 12/12; Files: 8; VERIFIED: Failed 12 times, confidence: 0.92",TRUE
right atrium,Right atrial structure,BodyStructure,0,11,11,0.892,Rechter Vorhof,,,,umls,11,"Failed: 11/11; Sources: umls; Files: 11; VERIFIED: Failed 11 times, confidence: 0.89",TRUE
normal,Normal,SymptomOrSign,11,0,11,0.894,Normal,,,,umls,10,Success: 11/11; Sources: umls; Files: 10,FALSE
Port-A-Cath,Port-A-Cath,TreatmentName,0,11,11,0.94,Portkatheter,,,,,8,"Failed: 11/11; Files: 8; VERIFIED: Failed 11 times, confidence: 0.94",TRUE
Tortuosity,Tortuosity,SymptomOrSign,0,11,11,0.99,Tortuosität,,,,umls,11,"Failed: 11/11; Sources: umls; Files: 11; VERIFIED: Failed 10 times, confidence: 0.99",TRUE
hyperinflated,Hyperdistention,SymptomOrSign,0,11,11,0.914,überbläht,,,,umls,11,"Failed: 11/11; Sources: umls; Files: 11; VERIFIED: Failed 11 times, confidence: 0.91",TRUE
collapse,Collapse (finding),SymptomOrSign,10,0,10,0.985,Kollaps,,,,umls,7,Success: 10/10; Sources: umls; Files: 7,FALSE
neck,Neck,BodyStructure,0,10,10,0.995,Hals,,,,umls,8,"Failed: 10/10; Sources: umls; Files: 8; VERIFIED: Failed 10 times, confidence: 0.99",TRUE
PA and lateral views,Views PA & lateral,ExaminationName,0,10,10,0.93,Posteroanteriore und laterale Aufnahmen,,,,,10,"Failed: 10/10; Files: 10; VERIFIED: Failed 10 times, confidence: 0.93",TRUE
upper lobe,Structure of upper lobe of lung,BodyStructure,0,10,10,0.911,Oberlappen,,,,umls,9,"Failed: 10/10; Sources: umls; Files: 9; VERIFIED: Failed 10 times, confidence: 0.91",TRUE
pain,Pain,SymptomOrSign,10,0,10,0.967,Schmerzen,,,,umls,9,Success: 10/10; Sources: umls; Files: 9,FALSE
interval change,12-lead electrocardiogram: interval change,SymptomOrSign,0,10,10,0.902,Veränderung,,,,,9,"Failed: 10/10; Files: 9; VERIFIED: Failed 10 times, confidence: 0.9",TRUE
costophrenic angle,Costophrenic angle,BodyStructure,0,10,10,0.92,Sinus costodiaphragmaticus,,,,umls,10,"Failed: 10/10; Sources: umls; Files: 10; VERIFIED: Failed 10 times, confidence: 0.92",TRUE
lateral view,Views lateral,ExaminationName,0,10,10,0.944,Lateralansicht,,,,,10,"Failed: 10/10; Files: 10; VERIFIED: Failed 8 times, confidence: 0.94",TRUE
Frontal view,Views frontal,ExaminationName,0,10,10,0.971,Frontalsicht,,,,,9,"Failed: 10/10; Files: 9; VERIFIED: Failed 8 times, confidence: 0.97",TRUE
pleural thickening,Thickening of pleura,SymptomOrSign,0,10,10,0.98,Pleuraverdickung,,,,umls,10,"Failed: 10/10; Sources: umls; Files: 10; VERIFIED: Failed 10 times, confidence: 0.98",TRUE
tracheostomy tube,Tracheostomy tube,TreatmentName,0,10,10,0.945,,,,,umls,9,Failed: 10/10; Sources: umls; Files: 9,FALSE
central venous catheter,"Central venous catheter, device",TreatmentName,10,0,10,0.964,Zentraler Venenkatheter,,,,umls,7,Success: 10/10; Sources: umls; Files: 7,FALSE
hiatal hernia,Hiatal Hernia,Diagnosis,10,0,10,0.986,Hiatushernie,,,,umls,7,Success: 10/10; Sources: umls; Files: 7,FALSE
right ventricle,Right ventricular structure,BodyStructure,0,9,9,0.912,Rechte Herzkammer,,,,umls,9,"Failed: 9/9; Sources: umls; Files: 9; VERIFIED: Failed 9 times, confidence: 0.91",TRUE
abdomen,Abdomen,BodyStructure,0,9,9,1,Abdomen,,,,umls,9,"Failed: 9/9; Sources: umls; Files: 9; VERIFIED: Failed 9 times, confidence: 1.0",TRUE
subclavian,Subclavicular approach,"BodyStructure, TreatmentName",0,9,9,0.91,subklavikulär,,,,umls,7,"Failed: 9/9; Sources: umls; Files: 7; VERIFIED: Failed 9 times, confidence: 0.91",TRUE
pleural fluid,Pleural fluid,SymptomOrSign,0,9,9,0.951,Lungenflüssigkeit,,,,umls,6,"Failed: 9/9; Sources: umls; Files: 6; VERIFIED: Failed 9 times, confidence: 0.95",TRUE
Chest frontal,Anterior chest wall structure,ExaminationName,0,9,9,0.94,Posteroanterior,,,,umls,9,"Failed: 9/9; Sources: umls; Files: 9; VERIFIED: Failed 8 times, confidence: 0.94",TRUE
median sternotomy,Median Sternotomy,TreatmentName,0,9,9,0.99,Median-Sternotomie,,,,umls,9,"Failed: 9/9; Sources: umls; Files: 9; VERIFIED: Failed 9 times, confidence: 0.99",TRUE
chest wall,Chest wall structure,BodyStructure,0,9,9,0.98,Brustwand,,,,umls,9,"Failed: 9/9; Sources: umls; Files: 9; VERIFIED: Failed 9 times, confidence: 0.98",TRUE
basilar,Basilar,BodyStructure,0,9,9,0.85,basilar,,,,,9,"Failed: 9/9; Files: 9; VERIFIED: Failed 9 times, confidence: 0.85",TRUE
thoracic aorta,Thoracic aorta,"BodyStructure, SymptomOrSign",0,9,9,0.924,Aorta thoracalis,,,,umls,7,"Failed: 9/9; Sources: umls; Files: 7; VERIFIED: Failed 9 times, confidence: 0.92",TRUE
Fall,Falls,SymptomOrSign,9,0,9,1,Stürze,,,,umls,9,Success: 9/9; Sources: umls; Files: 9,FALSE
scarring,Cicatrix,SymptomOrSign,0,9,9,0.99,Vernarbung,,,,umls,7,"Failed: 9/9; Sources: umls; Files: 7; VERIFIED: Failed 9 times, confidence: 0.99",TRUE
altered mental status,Abnormal mental state,SymptomOrSign,0,9,9,0.991,,,,,umls,9,Failed: 9/9; Sources: umls; Files: 9,FALSE
right upper lobe,Structure of right upper lobe of lung,BodyStructure,0,9,9,0.86,Rechter Oberlappen,,,,umls,6,"Failed: 9/9; Sources: umls; Files: 6; VERIFIED: Failed 9 times, confidence: 0.86",TRUE
"pulmonary vascular
 congestion",Pulmonary vascular congestion,SymptomOrSign,0,9,9,0.884,pulmonalvaskulär,,,,,9,"Failed: 9/9; Files: 9; VERIFIED: Failed 9 times, confidence: 0.88",TRUE
cardiac silhouette,Cardiac shadow viewed radiologically,"BodyStructure, SymptomOrSign",0,9,9,0.93,Herzsilhouette,,,,,8,"Failed: 9/9; Files: 8; VERIFIED: Failed 7 times, confidence: 0.93",TRUE
Pulmonary vasculature,Vasculature of lung,"BodyStructure, SymptomOrSign",0,8,8,0.871,,,,,,8,Failed: 8/8; Files: 8,FALSE
catheter,catheter device,TreatmentName,0,8,8,0.99,Katheter,,,,umls,8,"Failed: 8/8; Sources: umls; Files: 8; VERIFIED: Failed 8 times, confidence: 0.99",TRUE
Surgical clips,Surgical Clips,TreatmentName,0,8,8,0.974,,,,,umls,7,Failed: 8/8; Sources: umls; Files: 7,FALSE
"pleural
 effusions",Pleural effusion (disorder),Diagnosis,8,0,8,0.894,Pleuraerguss,,,,umls,8,Success: 8/8; Sources: umls; Files: 8,FALSE
CT chest,Chest CT,ExaminationName,0,8,8,0.99,Thorax-CT,,,,umls,7,"Failed: 8/8; Sources: umls; Files: 7; VERIFIED: Failed 8 times, confidence: 0.99",TRUE
bases,Basal segment of lung,BodyStructure,0,8,8,0.955,Basen,,,,umls,8,"Failed: 8/8; Sources: umls; Files: 8; VERIFIED: Failed 8 times, confidence: 0.95",TRUE
rib fractures,Rib Fractures,Diagnosis,7,0,7,0.831,Rippenfraktur,,,,umls,5,Success: 7/7; Sources: umls; Files: 5,FALSE
line,Intravascular line,TreatmentName,0,7,7,0.924,Katheter,,,,umls,5,"Failed: 7/7; Sources: umls; Files: 5; VERIFIED: Failed 7 times, confidence: 0.92",TRUE
Evaluate,Evaluation,ExaminationName,0,7,7,0.867,,,,,,6,Failed: 7/7; Files: 6,FALSE
fractures,Fracture,SymptomOrSign,7,0,7,0.926,Fraktur,,,,umls,5,Success: 7/7; Sources: umls; Files: 5,FALSE
lymphadenopathy,Lymphadenopathy,SymptomOrSign,7,0,7,0.949,Lymphadenopathie,,,,umls,5,Success: 7/7; Sources: umls; Files: 5,FALSE
lung opacities,Lung opacity,"ExaminationName, SymptomOrSign",0,7,7,0.883,Opazitäten der Lunge,,,,,6,"Failed: 7/7; Files: 6; VERIFIED: Failed 7 times, confidence: 0.88",TRUE
hypoxia,Hypoxia,SymptomOrSign,0,7,7,0.94,Hypoxie,,,,umls,5,"Failed: 7/7; Sources: umls; Files: 5; VERIFIED: Failed 7 times, confidence: 0.94",TRUE
vomiting,Vomiting,SymptomOrSign,7,0,7,0.997,Erbrechen,,,,umls,6,Success: 7/7; Sources: umls; Files: 6,FALSE
findings,findings aspects,SymptomOrSign,0,7,7,0.89,Befunde,,,,,6,"Failed: 7/7; Files: 6; VERIFIED: Failed 7 times, confidence: 0.89",TRUE
weakness,Weakness,SymptomOrSign,0,7,7,0.999,,,,,umls,7,Failed: 7/7; Sources: umls; Files: 7,FALSE
lateral chest,Structure of surface region of lateral chest wall,ExaminationName,0,7,7,0.916,,,,,umls,5,Failed: 7/7; Sources: umls; Files: 5,FALSE
cardiopulmonary disease,Cor pulmonale,Diagnosis,7,0,7,0.976,Cor Pulmonale,,,,umls,7,Success: 7/7; Sources: umls; Files: 7,FALSE
syncope,Syncope,SymptomOrSign,7,0,7,0.979,Synkope,,,,umls,7,Success: 7/7; Sources: umls; Files: 7,FALSE
abnormalities,Abnormal,SymptomOrSign,6,0,6,0.955,Abnorm,,,,umls,5,Success: 6/6; Sources: umls; Files: 5,FALSE
fluid overload,Hypervolemia (finding),SymptomOrSign,6,0,6,0.915,Hypervolämie,,,,umls,6,Success: 6/6; Sources: umls; Files: 6,FALSE
infectious process,INFECTIOUS PROCESS,Diagnosis,0,6,6,0.93,,,,,umls,5,Failed: 6/6; Sources: umls; Files: 5,FALSE
unremarkable,Normal,SymptomOrSign,6,0,6,0.928,Normal,,,,umls,6,Success: 6/6; Sources: umls; Files: 6,FALSE
tortuous,Tortuous,SymptomOrSign,0,6,6,0.98,gewunden,,,,,6,"Failed: 6/6; Files: 6; VERIFIED: Failed 6 times, confidence: 0.98",TRUE
rib,Bone structure of rib,BodyStructure,0,6,6,0.913,,,,,umls,6,Failed: 6/6; Sources: umls; Files: 6,FALSE
intubated,Intubation (procedure),TreatmentName,6,0,6,0.997,Intubation,,,,umls,6,Success: 6/6; Sources: umls; Files: 6,FALSE
apex,Structure of apex of heart,BodyStructure,0,6,6,0.962,,,,,umls,6,Failed: 6/6; Sources: umls; Files: 6,FALSE
fevers,Fever,SymptomOrSign,6,0,6,1,Fieber,,,,umls,6,Success: 6/6; Sources: umls; Files: 6,FALSE
