term,normalized_text,categories,success_count,failure_count,total_count,avg_confidence,translation_de,translation_fr,translation_es,translation_it,sources,file_count,notes,verified
right atrium,Right atrial structure,BodyStructure,0,11,11,0.892,,,,,umls,11,Failed: 11/11; Sources: umls; Files: 11,FALSE
right ventricle,Right ventricular structure,BodyStructure,0,9,9,0.912,,,,,umls,9,Failed: 9/9; Sources: umls; Files: 9,FALSE
Enlargement of the pulmonary arteries,Dilatation of pulmonary artery (disorder),SymptomOrSign,0,1,1,0.96,,,,,umls,1,Failed: 1/1; Sources: umls; Files: 1,FALSE
pulmonary arterial hypertension,Pulmonary arterial hypertension,Diagnosis,0,1,1,1.0,,,,,umls,1,Failed: 1/1; Sources: umls; Files: 1,FALSE
engorged,engorged,SymptomOrSign,0,13,13,0.998,,,,,,13,Failed: 13/13; Files: 13,FALSE
consolidation,Consolidation,SymptomOrSign,0,165,165,0.944,,,,,umls,143,Failed: 165/165; Sources: umls; Files: 143,FALSE
"pleural
 effusion",Pleural effusion (disorder),"Diagnosis, SymptomOrSign",24,0,24,0.964,Pleuraerguss,,,,umls,23,Success: 24/24; Sources: umls; Files: 23,FALSE
pneumothorax,Pneumothorax,Diagnosis,346,0,346,0.936,Pneumothorax,,,,umls,296,Success: 346/346; Sources: umls; Files: 296,FALSE
rib fractures,Rib Fractures,Diagnosis,7,0,7,0.831,Rippenfraktur,,,,umls,5,Success: 7/7; Sources: umls; Files: 5,FALSE
shoulder,Shoulder,BodyStructure,0,1,1,0.98,,,,,umls,1,Failed: 1/1; Sources: umls; Files: 1,FALSE
"Pulmonary arterial
 hypertension",Pulmonary arterial hypertension,Diagnosis,0,1,1,1.0,,,,,umls,1,Failed: 1/1; Sources: umls; Files: 1,FALSE
LAT,"ORC3 protein, human",ExaminationName,0,58,58,0.95,,,,,,55,Failed: 58/58; Files: 55,FALSE
woman,Woman,Gender,0,62,62,1.0,,,,,umls,62,Failed: 62/62; Sources: umls; Files: 62,FALSE
"dual-chamber
 pacemaker",dual-chamber pacemaker (procedure),TreatmentName,0,1,1,1.0,,,,,,1,Failed: 1/1; Files: 1,FALSE
generator,Generator Dosage Form,TreatmentName,0,1,1,0.88,,,,,,1,Failed: 1/1; Files: 1,FALSE
lead,"Plumbum metallicum, homeopathic preparation",TreatmentName,0,4,4,0.865,,,,,,4,Failed: 4/4; Files: 4,FALSE
pleural effusions,Pleural effusion (disorder),"Diagnosis, SymptomOrSign",59,0,59,0.909,Pleuraerguss,,,,umls,41,Success: 59/59; Sources: umls; Files: 41,FALSE
CHEST RADIOGRAPH,Chest radiograph,ExaminationName,0,110,110,0.972,,,,,,97,Failed: 110/110; Files: 97,FALSE
back surgery,Back surgery,TreatmentName,0,1,1,0.99,,,,,,1,Failed: 1/1; Files: 1,FALSE
scoliosis,"Scoliosis, unspecified",Diagnosis,5,0,5,0.954,Skoliose der Wirbelsäule,,,,umls,5,Success: 5/5; Sources: umls; Files: 5,FALSE
chest x-ray,Plain chest X-ray,ExaminationName,12,0,12,0.989,Röntgenaufnahme der Brust,,,,umls,11,Success: 12/12; Sources: umls; Files: 11,FALSE
changes,Changing,SymptomOrSign,0,4,4,0.902,,,,,umls,4,Failed: 4/4; Sources: umls; Files: 4,FALSE
pneumonia,Pneumonia,Diagnosis,181,0,181,0.981,Pneumonie,,,,umls,126,Success: 181/181; Sources: umls; Files: 126,FALSE
M,Male population group,Gender,0,45,45,0.996,,,,,umls,44,Failed: 45/45; Sources: umls; Files: 44,FALSE
fever,Fever,SymptomOrSign,28,0,28,0.989,Fieber,,,,umls,28,Success: 28/28; Sources: umls; Files: 28,FALSE
cholangiocarcinoma,Cholangiocarcinoma,Diagnosis,2,0,2,1.0,Cholangiozelluläres Karzinom,,,,umls,2,Success: 2/2; Sources: umls; Files: 2,FALSE
lateral,Lateral,ExaminationName,0,48,48,0.945,,,,,umls,48,Failed: 48/48; Sources: umls; Files: 48,FALSE
cardiac,Heart,"BodyStructure, SymptomOrSign",0,49,49,0.978,,,,,umls,49,Failed: 49/49; Sources: umls; Files: 49,FALSE
mediastinal,Mediastinum,"BodyStructure, SymptomOrSign",0,57,57,0.933,,,,,umls,56,Failed: 57/57; Sources: umls; Files: 56,FALSE
degenerative changes,Abnormal degeneration,SymptomOrSign,0,19,19,0.967,,,,,umls,19,Failed: 19/19; Sources: umls; Files: 19,FALSE
thoracic spine,Thoracic spine structure,BodyStructure,0,17,17,0.986,,,,,umls,16,Failed: 17/17; Sources: umls; Files: 16,FALSE
biliary stents,Insertion of biliary stent,TreatmentName,0,1,1,0.99,,,,,umls,1,Failed: 1/1; Sources: umls; Files: 1,FALSE
abdomen,Abdomen,BodyStructure,0,9,9,0.996,,,,,umls,9,Failed: 9/9; Sources: umls; Files: 9,FALSE
Endotracheal tube,Endotracheal tube,TreatmentName,25,0,25,0.933,Endotrachealtubus,,,,umls,22,Success: 25/25; Sources: umls; Files: 22,FALSE
carina,Structure of carina,BodyStructure,0,29,29,0.982,,,,,umls,25,Failed: 29/29; Sources: umls; Files: 25,FALSE
nasogastric tube,Nasogastric tube procedures,TreatmentName,0,27,27,0.971,,,,,,24,Failed: 27/27; Files: 24,FALSE
stomach,Stomach,BodyStructure,0,46,46,0.99,,,,,,40,Failed: 46/46; Files: 40,FALSE
line,Intravascular line,TreatmentName,0,7,7,0.924,,,,,umls,5,Failed: 7/7; Sources: umls; Files: 5,FALSE
neck,Neck,BodyStructure,0,10,10,0.995,,,,,umls,8,Failed: 10/10; Sources: umls; Files: 8,FALSE
Evaluate,Evaluation,ExaminationName,0,7,7,0.867,,,,,,6,Failed: 7/7; Files: 6,FALSE
Chest radiographs,Plain chest X-ray,ExaminationName,59,0,59,0.97,Röntgenaufnahme der Brust,,,,umls,55,Success: 59/59; Sources: umls; Files: 55,FALSE
subclavian,Subclavicular approach,"BodyStructure, TreatmentName",0,9,9,0.909,,,,,umls,7,Failed: 9/9; Sources: umls; Files: 7,FALSE
"central venous
 catheter","Central venous catheter, device",TreatmentName,1,0,1,0.93,Zentraler Venenkatheter,,,,umls,1,Success: 1/1; Sources: umls; Files: 1,FALSE
kinking,Pseudocoarctation,SymptomOrSign,0,1,1,0.97,,,,,,1,Failed: 1/1; Files: 1,FALSE
antrum,Antrum,BodyStructure,0,1,1,0.95,,,,,,1,Failed: 1/1; Files: 1,FALSE
clear,Clear,SymptomOrSign,0,24,24,0.995,,,,,umls,24,Failed: 24/24; Sources: umls; Files: 24,FALSE
hilar,Hilar,"BodyStructure, SymptomOrSign",0,15,15,0.928,,,,,umls,14,Failed: 15/15; Sources: umls; Files: 14,FALSE
wedge resection,Wedge resection - action,TreatmentName,2,0,2,1.0,Keilresektion,,,,umls,2,Success: 2/2; Sources: umls; Files: 2,FALSE
opacities,Abnormally opaque structure (morphologic abnormality),SymptomOrSign,0,54,54,0.995,,,,,umls,41,Failed: 54/54; Sources: umls; Files: 41,FALSE
pleural fluid,Pleural fluid,SymptomOrSign,0,9,9,0.951,,,,,umls,6,Failed: 9/9; Sources: umls; Files: 6,FALSE
atelectasis,Atelectasis,"Diagnosis, ExaminationName, SymptomOrSign",129,0,129,0.876,Atelektase,,,,umls,89,Success: 129/129; Sources: umls; Files: 89,FALSE
hemorrhage,Hemorrhage,SymptomOrSign,2,0,2,0.86,Blutung,,,,umls,1,Success: 2/2; Sources: umls; Files: 1,FALSE
trauma,Trauma,SymptomOrSign,0,2,2,1.0,,,,,,1,Failed: 2/2; Files: 1,FALSE
"CT
 scan",X-Ray Computed Tomography,ExaminationName,0,1,1,0.99,,,,,umls,1,Failed: 1/1; Sources: umls; Files: 1,FALSE
chest tubes,Chest Tubes,TreatmentName,0,4,4,0.985,,,,,umls,4,Failed: 4/4; Sources: umls; Files: 4,FALSE
opacity,Abnormally opaque structure (morphologic abnormality),SymptomOrSign,0,96,96,0.99,,,,,umls,63,Failed: 96/96; Sources: umls; Files: 63,FALSE
exam,Medical Examination,ExaminationName,23,0,23,0.872,Medizinisches Assessment,,,,umls,23,Success: 23/23; Sources: umls; Files: 23,FALSE
PTX,Pneumothorax,Diagnosis,14,0,14,0.965,Pneumothorax,,,,umls,9,Success: 14/14; Sources: umls; Files: 9,FALSE
Evaluation,Evaluation,ExaminationName,0,3,3,0.82,,,,,,2,Failed: 3/3; Files: 2,FALSE
apical,Apical,BodyStructure,0,3,3,0.85,,,,,umls,3,Failed: 3/3; Sources: umls; Files: 3,FALSE
thoracostomy,Thoracostomy,TreatmentName,1,0,1,0.98,Anlage eines Thorax-Stomas,,,,umls,1,Success: 1/1; Sources: umls; Files: 1,FALSE
displaces heart,heart; displacement,SymptomOrSign,0,1,1,0.96,,,,,,1,Failed: 1/1; Files: 1,FALSE
hemithorax,Structure of half of thorax lateral to midsagittal plane,BodyStructure,0,19,19,0.973,,,,,umls,12,Failed: 19/19; Sources: umls; Files: 12,FALSE
basal,Basal,BodyStructure,0,2,2,0.92,,,,,umls,2,Failed: 2/2; Sources: umls; Files: 2,FALSE
F,Woman,Gender,0,48,48,0.971,,,,,umls,46,Failed: 48/48; Sources: umls; Files: 46,FALSE
sob,Dyspnea,SymptomOrSign,13,0,13,0.994,Dyspnoe,,,,umls,11,Success: 13/13; Sources: umls; Files: 11,FALSE
lung base,Basal segment of lung,BodyStructure,0,36,36,0.975,,,,,umls,30,Failed: 36/36; Sources: umls; Files: 30,FALSE
Blunting,Blunted,SymptomOrSign,0,17,17,0.987,,,,,umls,14,Failed: 17/17; Sources: umls; Files: 14,FALSE
Chest pain,Chest Pain,SymptomOrSign,43,0,43,1.0,Thoraxschmerzen,,,,umls,41,Success: 43/43; Sources: umls; Files: 41,FALSE
transfusion,Blood Transfusion,TreatmentName,3,0,3,0.993,Transfusion von Blutprodukt,,,,umls,3,Success: 3/3; Sources: umls; Files: 3,FALSE
calcification,Calcification,SymptomOrSign,0,4,4,0.985,,,,,,4,Failed: 4/4; Files: 4,FALSE
aortic arch,Aortic arch structure,BodyStructure,0,2,2,0.945,,,,,umls,2,Failed: 2/2; Sources: umls; Files: 2,FALSE
fluid overload,Hypervolemia (finding),SymptomOrSign,6,0,6,0.915,Hypervolämie,,,,umls,6,Success: 6/6; Sources: umls; Files: 6,FALSE
cough,Coughing,SymptomOrSign,0,79,79,0.993,,,,,umls,75,Failed: 79/79; Sources: umls; Files: 75,FALSE
Elevation,Elevation,SymptomOrSign,0,15,15,0.986,,,,,umls,13,Failed: 15/15; Sources: umls; Files: 13,FALSE
diaphragm,Respiratory Diaphragm,BodyStructure,0,19,19,0.929,,,,,umls,19,Failed: 19/19; Sources: umls; Files: 19,FALSE
pulmonary edema,Pulmonary Edema,"Diagnosis, ExaminationName",117,0,117,0.916,Lungenödem,,,,umls,87,Success: 117/117; Sources: umls; Files: 87,FALSE
mediastinum,Mediastinum,"BodyStructure, SymptomOrSign",0,22,22,0.91,,,,,umls,22,Failed: 22/22; Sources: umls; Files: 22,FALSE
normal,Normal,SymptomOrSign,11,0,11,0.894,Normal,,,,umls,10,Success: 11/11; Sources: umls; Files: 10,FALSE
shortness of breath,Dyspnea,SymptomOrSign,23,0,23,0.998,Dyspnoe,,,,umls,23,Success: 23/23; Sources: umls; Files: 23,FALSE
Upright AP view,View AP upright,ExaminationName,0,3,3,0.973,,,,,,3,Failed: 3/3; Files: 3,FALSE
Pulmonary vasculature,Vasculature of lung,"BodyStructure, SymptomOrSign",0,8,8,0.871,,,,,,8,Failed: 8/8; Files: 8,FALSE
glenohumeral joints,Joint structure of shoulder region,BodyStructure,0,3,3,0.987,,,,,umls,3,Failed: 3/3; Sources: umls; Files: 3,FALSE
Chest frontal,Anterior chest wall structure,ExaminationName,0,9,9,0.924,,,,,umls,9,Failed: 9/9; Sources: umls; Files: 9,FALSE
lateral views,Views lateral,ExaminationName,0,75,75,0.93,,,,,,66,Failed: 75/75; Files: 66,FALSE
female,Woman,Gender,0,23,23,1.0,,,,,umls,23,Failed: 23/23; Sources: umls; Files: 23,FALSE
Port-A-Cath,Port-A-Cath,TreatmentName,0,11,11,0.937,,,,,,8,Failed: 11/11; Files: 8,FALSE
"chest tube
 placement",chest tube placement,TreatmentName,0,2,2,0.985,,,,,,2,Failed: 2/2; Files: 2,FALSE
catheter,catheter device,TreatmentName,0,8,8,0.988,,,,,umls,8,Failed: 8/8; Sources: umls; Files: 8,FALSE
infectious process,INFECTIOUS PROCESS,Diagnosis,0,6,6,0.93,,,,,umls,5,Failed: 6/6; Sources: umls; Files: 5,FALSE
infection,Infection,"Diagnosis, SymptomOrSign",0,35,35,0.975,,,,,,26,Failed: 35/35; Files: 26,FALSE
AVR,aVR,TreatmentName,0,4,4,1.0,,,,,umls,3,Failed: 4/4; Sources: umls; Files: 3,FALSE
MVR,Missing Value Reason,TreatmentName,0,3,3,0.93,,,,,,3,Failed: 3/3; Files: 3,FALSE
congestion,Congestion,SymptomOrSign,0,5,5,0.984,,,,,umls,4,Failed: 5/5; Sources: umls; Files: 4,FALSE
effusions,effusion,"Diagnosis, SymptomOrSign",0,20,20,0.961,,,,,umls,17,Failed: 20/20; Sources: umls; Files: 17,FALSE
edema,Edema,"ExaminationName, SymptomOrSign",0,28,28,0.956,,,,,umls,24,Failed: 28/28; Sources: umls; Files: 24,FALSE
pna,Pneumonia,Diagnosis,24,0,24,0.993,Pneumonie,,,,umls,17,Success: 24/24; Sources: umls; Files: 17,FALSE
antibiotics,Antibiotics,MedicationClass,0,2,2,0.995,,,,,,2,Failed: 2/2; Files: 2,FALSE
imaging,Diagnostic Imaging,ExaminationName,2,0,2,0.965,Bildgebende Diagnostik,,,,umls,2,Success: 2/2; Sources: umls; Files: 2,FALSE
lower lobe,Structure of lower lobe of lung,BodyStructure,0,14,14,0.869,,,,,umls,14,Failed: 14/14; Sources: umls; Files: 14,FALSE
finding,Finding,SymptomOrSign,0,2,2,0.825,,,,,,2,Failed: 2/2; Files: 2,FALSE
median sternotomy,Median Sternotomy,TreatmentName,0,9,9,0.988,,,,,umls,9,Failed: 9/9; Sources: umls; Files: 9,FALSE
process,Process,SymptomOrSign,0,3,3,0.867,,,,,umls,3,Failed: 3/3; Sources: umls; Files: 3,FALSE
PA and lateral views,Views PA & lateral,ExaminationName,0,10,10,0.93,,,,,,10,Failed: 10/10; Files: 10,FALSE
CT chest.,Chest CT,ExaminationName,0,1,1,0.92,,,,,umls,1,Failed: 1/1; Sources: umls; Files: 1,FALSE
unremarkable,Normal,SymptomOrSign,6,0,6,0.928,Normal,,,,umls,6,Success: 6/6; Sources: umls; Files: 6,FALSE
calcified granulomas,Calcified granuloma,SymptomOrSign,0,1,1,0.82,,,,,umls,1,Failed: 1/1; Sources: umls; Files: 1,FALSE
upper lobe,Structure of upper lobe of lung,BodyStructure,0,10,10,0.911,,,,,umls,9,Failed: 10/10; Sources: umls; Files: 9,FALSE
fibrothorax,Fibrothorax,Diagnosis,0,1,1,0.97,,,,,,1,Failed: 1/1; Files: 1,FALSE
pleural,Pleura,BodyStructure,0,30,30,0.994,,,,,umls,29,Failed: 30/30; Sources: umls; Files: 29,FALSE
mastectomy,Mastectomy,TreatmentName,0,1,1,1.0,,,,,umls,1,Failed: 1/1; Sources: umls; Files: 1,FALSE
clip,Clip,TreatmentName,0,1,1,0.95,,,,,umls,1,Failed: 1/1; Sources: umls; Files: 1,FALSE
chest wall,Chest wall structure,BodyStructure,0,9,9,0.976,,,,,umls,9,Failed: 9/9; Sources: umls; Files: 9,FALSE
"degenerative
 changes",Abnormal degeneration,SymptomOrSign,0,3,3,0.973,,,,,umls,3,Failed: 3/3; Sources: umls; Files: 3,FALSE
symptoms,Symptoms,SymptomOrSign,0,3,3,0.973,,,,,,3,Failed: 3/3; Files: 3,FALSE
CT,X-Ray Computed Tomography,"ExaminationName, TreatmentName",0,33,33,0.982,,,,,umls,21,Failed: 33/33; Sources: umls; Files: 21,FALSE
pelvis,Pelvis,BodyStructure,0,1,1,1.0,,,,,umls,1,Failed: 1/1; Sources: umls; Files: 1,FALSE
left upper lobe,Structure of left upper lobe of lung,BodyStructure,0,4,4,0.84,,,,,umls,3,Failed: 4/4; Sources: umls; Files: 3,FALSE
"pulmonary
 edema",Pulmonary Edema,Diagnosis,15,0,15,0.915,Lungenödem,,,,umls,14,Success: 15/15; Sources: umls; Files: 14,FALSE
Febrile,Fever,SymptomOrSign,4,0,4,0.998,Fieber,,,,umls,4,Success: 4/4; Sources: umls; Files: 4,FALSE
AP,ampicillin,ExaminationName,14,0,14,0.903,Ampicillin,,,,umls,12,Success: 14/14; Sources: umls; Files: 12,FALSE
opacification,Opacification,SymptomOrSign,0,20,20,0.993,,,,,umls,15,Failed: 20/20; Sources: umls; Files: 15,FALSE
basilar,Basilar,BodyStructure,0,9,9,0.85,,,,,,9,Failed: 9/9; Files: 9,FALSE
cardiomegaly,Cardiomegaly,SymptomOrSign,62,0,62,0.918,Kardiomegalie,,,,umls,53,Success: 62/62; Sources: umls; Files: 53,FALSE
thoracic aorta,Thoracic aorta,"BodyStructure, SymptomOrSign",0,9,9,0.924,,,,,umls,7,Failed: 9/9; Sources: umls; Files: 7,FALSE
ectatic,Dilated,SymptomOrSign,0,2,2,0.99,,,,,umls,2,Failed: 2/2; Sources: umls; Files: 2,FALSE
Tortuosity,Tortuosity,SymptomOrSign,0,11,11,0.99,,,,,umls,11,Failed: 11/11; Sources: umls; Files: 11,FALSE
Wedging,Wedge,SymptomOrSign,0,1,1,0.83,,,,,umls,1,Failed: 1/1; Sources: umls; Files: 1,FALSE
thoracic vertebral bodies,Structure of body of thoracic vertebra,BodyStructure,0,1,1,0.93,,,,,umls,1,Failed: 1/1; Sources: umls; Files: 1,FALSE
AML,"Leukemia, Myelocytic, Acute",Diagnosis,0,1,1,1.0,,,,,umls,1,Failed: 1/1; Sources: umls; Files: 1,FALSE
"shortness of
 breath",Dyspnea,SymptomOrSign,2,0,2,0.99,Dyspnoe,,,,umls,2,Success: 2/2; Sources: umls; Files: 2,FALSE
peribronchial cuffing,Peribronchial Cuffing,SymptomOrSign,0,2,2,0.95,,,,,,2,Failed: 2/2; Files: 2,FALSE
hemidiaphragms,Structure of hemidiaphragm,BodyStructure,0,4,4,0.968,,,,,umls,3,Failed: 4/4; Sources: umls; Files: 3,FALSE
"peribronchial
 cuffing",Peribronchial Cuffing,SymptomOrSign,0,1,1,0.96,,,,,,1,Failed: 1/1; Files: 1,FALSE
NSTEMI,Non-ST Elevated Myocardial Infarction,Diagnosis,0,2,2,1.0,,,,,,2,Failed: 2/2; Files: 2,FALSE
balloon pump,Balloon pump,TreatmentName,0,1,1,0.93,,,,,umls,1,Failed: 1/1; Sources: umls; Files: 1,FALSE
"intra aortic
 balloon pump",Intra-Aortic Balloon Pumping,TreatmentName,0,1,1,0.99,,,,,umls,1,Failed: 1/1; Sources: umls; Files: 1,FALSE
descending thoracic aorta,Descending thoracic aorta,BodyStructure,0,3,3,0.907,,,,,umls,2,Failed: 3/3; Sources: umls; Files: 2,FALSE
tortuous,Tortuous,SymptomOrSign,0,6,6,0.978,,,,,,6,Failed: 6/6; Files: 6,FALSE
intra aortic balloon pump,Intra-Aortic Balloon Pumping,TreatmentName,0,1,1,0.88,,,,,umls,1,Failed: 1/1; Sources: umls; Files: 1,FALSE
Fall,Falls,SymptomOrSign,9,0,9,1.0,Stürze,,,,umls,9,Success: 9/9; Sources: umls; Files: 9,FALSE
Cervical spine fractures,Fracture of cervical spine,Diagnosis,1,0,1,0.99,Fraktur der HWS - Halswirbelsäule,,,,umls,1,Success: 1/1; Sources: umls; Files: 1,FALSE
mediastinal bleeding,Mediastinal Hemorrhage,SymptomOrSign,0,1,1,0.92,,,,,,1,Failed: 1/1; Files: 1,FALSE
displaced,Spatial Displacement,SymptomOrSign,0,4,4,0.97,,,,,umls,2,Failed: 4/4; Sources: umls; Files: 2,FALSE
"nasogastric
 tube",Nasogastric tube procedures,TreatmentName,0,1,1,0.97,,,,,,1,Failed: 1/1; Files: 1,FALSE
difficulty breathing,Dyspnea,SymptomOrSign,2,0,2,0.995,Dyspnoe,,,,umls,2,Success: 2/2; Sources: umls; Files: 2,FALSE
wheezing,Wheezing,SymptomOrSign,5,0,5,0.994,Pfeifgeräusch beim Atmen,,,,umls,4,Success: 5/5; Sources: umls; Files: 4,FALSE
Aspiration,Endotracheal aspiration,"Diagnosis, SymptomOrSign",3,29,32,0.913,Aspiration in Atemwege,,,,umls,22,Success: 3/32; Failed: 29/32; Sources: umls; Files: 22,FALSE
pulmonary embolism,Pulmonary Embolism,Diagnosis,2,0,2,1.0,Lungenembolie,,,,umls,2,Success: 2/2; Sources: umls; Files: 2,FALSE
CXR,Plain chest X-ray,ExaminationName,5,0,5,0.978,Röntgenaufnahme der Brust,,,,umls,4,Success: 5/5; Sources: umls; Files: 4,FALSE
"interstitial
 markings",Interstitial marker,SymptomOrSign,0,1,1,1.0,,,,,umls,1,Failed: 1/1; Sources: umls; Files: 1,FALSE
Single view,View,ExaminationName,0,1,1,0.87,,,,,umls,1,Failed: 1/1; Sources: umls; Files: 1,FALSE
lungs,Lung,BodyStructure,0,31,31,0.96,,,,,umls,31,Failed: 31/31; Sources: umls; Files: 31,FALSE
enlarged,Enlarged,SymptomOrSign,0,12,12,0.979,,,,,umls,12,Failed: 12/12; Sources: umls; Files: 12,FALSE
"subarachnoid
 hemorrhage",Subarachnoid Hemorrhage,Diagnosis,1,0,1,0.96,Subarachnoidalblutung,,,,umls,1,Success: 1/1; Sources: umls; Files: 1,FALSE
Heart size,heart size,SymptomOrSign,0,24,24,0.929,,,,,,23,Failed: 24/24; Files: 23,FALSE
left lower lobe,Structure of left lower lobe of lung,BodyStructure,0,15,15,0.908,,,,,umls,14,Failed: 15/15; Sources: umls; Files: 14,FALSE
pain,Pain,SymptomOrSign,10,0,10,0.967,Schmerzen,,,,umls,9,Success: 10/10; Sources: umls; Files: 9,FALSE
fracture,Fracture,"Diagnosis, SymptomOrSign",15,0,15,0.987,Fraktur,,,,umls,12,Success: 15/15; Sources: umls; Files: 12,FALSE
rib,Bone structure of rib,BodyStructure,0,6,6,0.913,,,,,umls,6,Failed: 6/6; Sources: umls; Files: 6,FALSE
fractures,Fracture,SymptomOrSign,7,0,7,0.926,Fraktur,,,,umls,5,Success: 7/7; Sources: umls; Files: 5,FALSE
Heart,HEART PROBLEM,"BodyStructure, SymptomOrSign",0,30,30,0.962,,,,,umls,30,Failed: 30/30; Sources: umls; Files: 30,FALSE
aortic tortuosity,Aortic tortuosity,SymptomOrSign,0,1,1,0.94,,,,,,1,Failed: 1/1; Files: 1,FALSE
PET-CT,PET/CT scan,ExaminationName,0,3,3,0.993,,,,,umls,1,Failed: 3/3; Sources: umls; Files: 1,FALSE
PET CT,PET/CT scan,ExaminationName,0,1,1,0.99,,,,,umls,1,Failed: 1/1; Sources: umls; Files: 1,FALSE
lymphadenopathy,Lymphadenopathy,SymptomOrSign,7,0,7,0.949,Lymphadenopathie,,,,umls,5,Success: 7/7; Sources: umls; Files: 5,FALSE
lung opacities,Lung opacity,"ExaminationName, SymptomOrSign",0,7,7,0.883,,,,,,6,Failed: 7/7; Files: 6,FALSE
pleural plaques,Pleural plaque,SymptomOrSign,0,1,1,0.87,,,,,umls,1,Failed: 1/1; Sources: umls; Files: 1,FALSE
radiographs,Diagnostic radiologic examination,ExaminationName,0,21,21,0.933,,,,,umls,19,Failed: 21/21; Sources: umls; Files: 19,FALSE
MR,Mitral Valve Insufficiency,Diagnosis,3,0,3,0.987,Mitralklappeninsuffizienz,,,,umls,1,Success: 3/3; Sources: umls; Files: 1,FALSE
coumadin,Coumadin,MedicationName,0,3,3,1.0,,,,,,1,Failed: 3/3; Files: 1,FALSE
Afib,Atrial Fibrillation,Diagnosis,5,0,5,0.998,Vorhofflimmern,,,,umls,3,Success: 5/5; Sources: umls; Files: 3,FALSE
hypoxia,Hypoxia,SymptomOrSign,0,7,7,0.936,,,,,umls,5,Failed: 7/7; Sources: umls; Files: 5,FALSE
Frontal,Coronal (qualifier value),ExaminationName,0,39,39,0.972,,,,,umls,38,Failed: 39/39; Sources: umls; Files: 38,FALSE
infiltrate,Infiltration,"ExaminationName, SymptomOrSign",0,18,18,0.957,,,,,umls,16,Failed: 18/18; Sources: umls; Files: 16,FALSE
scarring,Cicatrix,SymptomOrSign,0,9,9,0.99,,,,,umls,7,Failed: 9/9; Sources: umls; Files: 7,FALSE
interval change,12-lead electrocardiogram: interval change,SymptomOrSign,0,10,10,0.902,,,,,,9,Failed: 10/10; Files: 9,FALSE
CHF,Congestive heart failure,Diagnosis,25,0,25,0.979,Angeborenes Herzversagen,,,,umls,21,Success: 25/25; Sources: umls; Files: 21,FALSE
EF,Ejection fraction (procedure),ExaminationName,0,1,1,1.0,,,,,,1,Failed: 1/1; Files: 1,FALSE
right lower lobe,Structure of right lower lobe of lung,BodyStructure,0,13,13,0.946,,,,,umls,11,Failed: 13/13; Sources: umls; Files: 11,FALSE
Swan-Ganz catheter,Pulmonary artery flotation catheter,TreatmentName,2,0,2,0.97,Pulmonalarterienkatheter,,,,umls,2,Success: 2/2; Sources: umls; Files: 2,FALSE
gastroparesis,Gastroparesis,Diagnosis,0,1,1,1.0,,,,,umls,1,Failed: 1/1; Sources: umls; Files: 1,FALSE
cardiac surgery,Cardiac Surgery procedures,TreatmentName,1,0,1,1.0,Herzoperation,,,,umls,1,Success: 1/1; Sources: umls; Files: 1,FALSE
